"id","details","operator","operator_circle","price","validity","categories"
237,"IR Travel Pass Outgoing calls to India & Local: 1500 mins Incoming Call: FREE Mobile Data: 5 GB high speed data thereafter unlimited at 64 kbps SMS: 1500 Validity: 30 days Applicable in top 32 countries including US, UK, UAE, Saudi, Canada, Thailand, Singapore, Germany etc | Please visit https://www.Jio.com/selfcare/plans/mobility/Jio-international-roaming-plans/?country=check for more details on country and partner network",Jio,andra-pradesh-telangana,"4999","30 days",International_roaming
238,"2G/3G Data: 120 MB",MTNL,delhi-ncr,"4","1 days",Data
239,SMS: 70 SMS,MTNL,delhi-ncr,"9","7 days",SMS
240,Talktime: Rs.8.0,MTNL,delhi-ncr,"10",N.A.,Talktime
241,Local Calls: 50 minutes,MTNL,delhi-ncr,"11","1 days",Special_offer
242,"Plan Migration | Local Own 1p/2Sec, Local Other 1p/1Sec, STD 1p/1Sec; Roaming(MT/MO-InCircle/MO-OutCircle)-Free/80p/115p per Min | Applicable only for Pay Per SECOND.",MTNL,delhi-ncr,"14","30 days",Special_offer
243,Plan Migration | Local&STD 1p/1Sec;Roaming(MT/MO- InCircle/MO-OutCircle)-Free/ 4p/5p per 3Sec,MTNL,delhi-ncr,"16","30 days",Special_offer
244,Plan Migration | All local/STD Call 50p/Min,MTNL,delhi-ncr,"17","90 days",Special_offer
245,"2G/3G Data: 750 MB",MTNL,delhi-ncr,"19","2 days",Data
246,Talktime: Rs.16.0,MTNL,delhi-ncr,"20",N.A.,Talktime
247,STD Calls: 50 minutes,MTNL,delhi-ncr,"21","1 days",STD
248,"Plan Migration | Local(Own/Other) 30p/50p per Min, STD 60p/Min",MTNL,delhi-ncr,"22","90 days",Special_offer
249,Talktime: Rs.26.0,MTNL,delhi-ncr,"30",N.A.,Talktime
250,SMS: 300 SMS,MTNL,delhi-ncr,"31","30 days",SMS
251,"2G/3G Data: 2.5 GB",MTNL,delhi-ncr,"42","3 days",Data
252,Plan Migration | -Local&STD 1p/1Sec;Roaming(MT/MO- InCircle/MO-OutCircle)-Free/ 4p/5p per 3Sec,MTNL,delhi-ncr,"43","90 days",Special_offer
253,"2G/3G Data: 1.5 GB / Day | Local, STD & Roaming Calls: Unlimited | SMS: 100 SMS / Day",MTNL,delhi-ncr,"44","7 days","Combo,Truly_unlimited"
254,"Plan Migration | Local Own 1p/2Sec, Local Other 1p/1Sec, STD 1p/1Sec; Roaming(MT/MO-InCircle/MO-OutCircle)-Free/80p/115p per Min | Applicable only for Pay Per SECOND.",MTNL,delhi-ncr,"45","90 days",Special_offer
255,Extension of SIM/ Account Validity to 90 days with 500 free SMS (MTNL Delhi GSM),MTNL,delhi-ncr,"47","90 days",SMS
256,Plan Migration | All local/STD Call 50 Paisa; Free 30 local min and 30 STD Min for 30 Days,MTNL,delhi-ncr,"48","90 days",Special_offer
257,"2G/3G Data: 2 GB",MTNL,delhi-ncr,"51","30 days",Data
258,"2G/3G Data: 1 GB | All MTNL to MTNL Calls: Unlimited | All MTNL to Other Calls: 200 minutes | SMS: 100 SMS",MTNL,delhi-ncr,"52","28 days",Combo
259,"Plan Migration | Local(Own/Other) 30p/50p per Min, STD 60p/Min ; Free 30 local min, 30 STD Min for 30 Days",MTNL,delhi-ncr,"53","90 days",Special_offer
260,"2G/3G Data: 6 GB",MTNL,delhi-ncr,"76","7 days",Data
261,Talktime: Rs.76.0,MTNL,delhi-ncr,"80",N.A.,Talktime
262,"2G/3G Data: 1.5 GB / Day | Local, STD & Roaming Calls: Unlimited | SMS: 100 SMS / Day",MTNL,delhi-ncr,"82","14 days","Combo,Truly_unlimited"
263,SMS: 1000 SMS,MTNL,delhi-ncr,"89","30 days",SMS
264,"2G/3G Data: 5 GB",MTNL,delhi-ncr,"99","30 days",Data
265,Talktime: Rs.100.0,MTNL,delhi-ncr,"100",N.A.,Talktime
266,"3G Data: 110 MB | Local MTNL to MTNL: 34 minutes | STD MTNL to MTNL: 26 minutes | All Video Calls: 30 minutes | Local MTNL to MTNL: 34 SMS | National MTNL to MTNL: 26 SMS",MTNL,delhi-ncr,"109","10 days",Combo
267,Local MTNL to MTNL Mobile: Unlimited,MTNL,delhi-ncr,"121","30 days",Special_offer
268,"2G/3G Data: 1.5 GB / Day | Local, STD & Roaming Calls: Unlimited | SMS: 100 SMS / Day",MTNL,delhi-ncr,"145","28 days","Combo,Truly_unlimited"
269,Talktime: Rs.205.0,MTNL,delhi-ncr,"200",N.A.,Talktime
270,"Lifetime Validity *1825 days, i.e | 5 yrs ,Further extended if the customer obliges/agrees with Terms & condition of MTNL prevailing at that time",MTNL,delhi-ncr,"225","1825 days",Special_offer
271,Talktime: Rs.310.0,MTNL,delhi-ncr,"300",N.A.,Talktime
272,"3G Data: 310 MB | Local MTNL to MTNL: 106 minutes | STD MTNL to MTNL: 80 minutes | All Video Calls: 100 minutes | Local SMS: 106 SMS | National SMS: 80 SMS",MTNL,delhi-ncr,"309","30 days",Combo
273,Talktime: Rs.520.0,MTNL,delhi-ncr,"500",N.A.,Talktime
274,Talktime: Rs.790.0,MTNL,delhi-ncr,"750",N.A.,Talktime
275,Talktime: Rs.1077.0,MTNL,delhi-ncr,"1000",N.A.,Talktime
276,"3G Data: 40 GB | Local & STD Calls: Unlimited | SMS: 1000 SMS | (home n/w and MTNL Mumbai n/w)",MTNL,delhi-ncr,"1097","365 days","Combo,Truly_unlimited,Annual"
277,"2G/3G Data: 2 GB / Day",MTNL,delhi-ncr,"1449","365 days","Data,Annual"
278,Talktime: Rs.1665.0,MTNL,delhi-ncr,"1500",N.A.,Talktime
279,Talktime: Rs.2525.0,MTNL,delhi-ncr,"2250",N.A.,Talktime
280,Talktime: Rs.3100.0,MTNL,delhi-ncr,"2700",N.A.,Talktime
